id_case,id_biter,x_coord,y_coord,owned,date_symptoms,days_uncertain
7416,7427,680033.776886965,9817407.80020014,TRUE,2009-02-15,28
7417,0,678027.085781865,9817422.33846857,TRUE,2012-06-05,7
7423,7424,677995.912561331,9813998.11780347,TRUE,2012-03-15,7
7424,0,678747.468171779,9813123.67328104,FALSE,2012-02-15,7
7427,0,678625.490802524,9817117.52346416,TRUE,2009-02-01,28
7428,0,678512.297304185,9814162.10052947,TRUE,2012-02-15,7
7429,7428,678027.604159271,9814174.70772116,TRUE,2012-02-25,7
7431,0,646443.634944591,9805508.76458589,TRUE,2012-07-11,0
7465,0,655503.861755527,9808756.29482606,FALSE,2012-07-13,0
7467,0,701383.74861457,9801111.40515726,FALSE,2012-06-25,7
7471,0,689412.29229728,9804698.36842686,FALSE,2012-06-05,7
7502,0,657832.029153388,9825517.67009263,FALSE,2012-06-16,0
7506,0,650868.867751285,9819916.65330734,TRUE,2010-06-24,0
7507,7510,682554.193091739,9783850.46657614,TRUE,2012-05-25,7
7510,0,682783.04130643,9782543.75961013,TRUE,2012-05-15,7
7548,7549,688095.680413911,9798075.402728,TRUE,2012-08-01,0
7549,0,687660.232616704,9799603.86415991,TRUE,2012-07-13,0
7556,0,687744.597089308,9798622.62335832,TRUE,2012-07-05,7
7562,0,657597.15132983,9793668.96085556,TRUE,2012-08-11,0
7583,0,640708.233162822,9823639.34870472,FALSE,2012-04-12,0
7597,0,691780.056885828,9801949.31081562,TRUE,2012-07-15,7
7605,0,655862.909747834,9822380.98245217,TRUE,2012-07-13,0
7634,0,655666.07196482,9807559.33734284,TRUE,2012-06-05,7
7636,0,656455.734105952,9809287.1723136,FALSE,2012-07-15,7
7710,0,671896.724448787,9803803.34556044,FALSE,2012-07-15,28
7711,7710,672304.979154623,9804799.89513323,TRUE,2012-08-15,7
7732,0,655677.315808606,9795077.35873728,FALSE,2012-09-05,7
7753,0,656727.289088571,9826761.54300824,FALSE,2012-06-01,0
7757,0,648938.790274018,9827097.04500958,FALSE,2012-08-11,0
7776,0,676853.685096559,9817338.83489773,FALSE,2011-10-05,7
7809,0,685178.850976783,9793404.08386162,FALSE,2012-10-05,7
7820,7819,664327.275157063,9831191.90446163,TRUE,2012-07-15,0
7839,0,652736.158864273,9822970.24567894,FALSE,2011-09-05,7
7863,0,688129.086254269,9796310.86051102,TRUE,2013-01-02,0
7880,0,675618.875661105,9817661.05498935,TRUE,2012-12-25,7
7892,0,675036.268231322,9818586.21959419,FALSE,2012-07-15,28
7910,0,652251.85549779,9808447.18678748,TRUE,2013-02-22,0
7916,0,680035.599259879,9815113.82794201,TRUE,2013-03-25,7
7931,0,678381.284711217,9823377.01258084,TRUE,2012-06-25,7
7934,7933,677255.98676856,9821131.18050599,TRUE,2012-05-25,7
7950,0,679071.863402078,9817063.30588373,FALSE,2012-07-25,7
7958,7956,697419.071919176,9804650.46569877,TRUE,2013-03-25,0
7963,0,672743.303465642,9794160.23505489,FALSE,2012-05-15,7
7969,7968,672095.641153839,9794828.77849204,TRUE,2011-04-25,0
7976,0,695067.759662281,9793436.973947,TRUE,2011-10-30,0
8065,0,663364.137584336,9827706.25175669,TRUE,2013-01-15,7
8066,8065,662944.035853717,9829030.38364549,TRUE,2013-02-15,7
8074,0,683956.48124367,9779916.64158241,FALSE,2013-05-11,0
8114,0,672631.008778984,9793028.38587849,TRUE,2012-12-01,0
8127,8116,668834.173433893,9798047.8981136,TRUE,2013-01-23,0
8193,0,648995.189653685,9821815.59361388,FALSE,2013-06-06,0
8198,0,692131.560123469,9814055.31018516,FALSE,2013-05-22,0
8200,0,691979.076526106,9812712.60985754,FALSE,2013-06-15,7
8208,0,699499.014643725,9792796.40066837,TRUE,2013-07-18,0
8213,0,701282.806960522,9793108.02686985,TRUE,2013-07-17,0
8215,0,699579.976928076,9793268.83529944,FALSE,2013-07-28,0
8231,0,678572.458904118,9807516.44153049,FALSE,2012-11-21,0
8256,0,681022.813405911,9814954.32396759,FALSE,2013-02-20,0
8291,0,666758.009046102,9812194.15020669,FALSE,2012-11-06,0
8293,8276,668156.243342367,9811839.99064609,TRUE,2013-01-15,28
8294,8276,668223.30792334,9811555.42636568,TRUE,2012-10-25,7
8307,0,640267.701245265,9820209.01941807,FALSE,2011-06-25,0
8312,0,659050.410170788,9825495.37808848,TRUE,2013-05-27,0
8410,0,674354.834774307,9806367.24666136,TRUE,2012-07-17,0
8687,0,672734.650016546,9793537.90684248,TRUE,2011-06-15,28
8688,7970,673211.410688181,9794281.59177935,TRUE,2011-05-25,7
8690,7972,672423.388627597,9794952.57474099,TRUE,2012-07-05,7
8751,0,681070.573740706,9815340.72037785,TRUE,2013-04-14,0
8758,0,680194.958944531,9814173.1026996,TRUE,2013-03-27,0
8864,0,646332.105856766,9801928.79067029,FALSE,2013-11-25,7
8866,0,648684.451155225,9821063.41016988,FALSE,2014-01-20,0
8897,0,657864.724965083,9824070.92766677,FALSE,2014-01-09,0
8898,0,656481.690624517,9825950.41346615,FALSE,2013-11-02,0
8900,0,650169.283651581,9818732.41587141,FALSE,2013-08-25,0
8902,8901,661598.728309255,9804596.62314746,TRUE,2014-01-29,0
8926,0,667967.233531669,9831041.57902629,FALSE,2014-01-01,0
8927,8926,667438.234408878,9832174.37184745,TRUE,2014-01-15,7
8928,8926,667324.687300741,9832101.5879717,TRUE,2014-01-28,0
8943,8942,684059.015052465,9814500.98288955,TRUE,2014-04-28,0
8957,0,686660.775128694,9811592.75661725,FALSE,2014-04-07,0
8959,0,687696.88529791,9816137.93058278,FALSE,2014-04-04,0
8966,0,664484.955340084,9794419.23186832,FALSE,2014-03-04,0
8991,0,673918.704925542,9797156.11582575,FALSE,2013-12-08,0
8992,8944,688410.500969249,9817101.42518885,TRUE,2014-05-13,0
9010,9002,686911.36951118,9761236.73942526,TRUE,2014-06-20,0
9021,9002,685340.105460501,9762592.78936391,TRUE,2014-07-01,0
9031,0,688818.162872562,9762742.24444119,TRUE,2014-06-26,0
9032,9031,688065.959923204,9761754.9630116,TRUE,2014-07-01,0
9039,9031,687696.927369572,9762030.14798787,TRUE,2014-07-02,0
9040,9031,687743.324215989,9761238.19091309,TRUE,2014-07-03,0
9072,0,691640.028679375,9812116.99140022,FALSE,2013-09-15,0
9114,0,692781.994665791,9795040.49500666,TRUE,2013-10-24,0
9120,9119,700895.075257529,9800278.34819605,TRUE,2013-10-20,0
9140,0,663002.157190146,9787194.72508545,FALSE,2013-11-04,0
9145,0,694652.270248911,9793584.62321715,FALSE,2013-11-14,0
9162,0,651345.28413754,9825610.2697674,TRUE,2013-10-16,0
9183,0,680744.879698257,9814755.63526531,TRUE,2013-03-27,0
9186,0,661768.250485451,9829383.36602489,FALSE,2013-09-15,0
